"","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","maxIndex","minIndex","change","progrs","meanIndex","cat"
"Afghanistan",44.5,50,47.1,47,48.7,49.1,49.1,51.4,49.3,48.5,47.6,48.8,49.1,48.2,47.5,49,49.1,46.5,19.8,7.08,8.04,6.82,8.44,10.5,20.8,21.4,23,21.6,19.1,19.1,51.4,6.82,44.58,10.6152941176471,33.8847058823529,"Partially Free"
"Albania",66.2,66.8,68.4,67.6,67.6,67.6,67.4,69.9,70.5,70.9,69.1,70.4,69.8,68.3,66.9,65.8,65.3,66.3,65.4,64.7,64.6,64,60.7,60.5,61.3,60.8,59.2,60.8,54.1,21.8,70.9,21.8,49.1,5.61764705882353,60.5823529411765,"Partially Free"
"Algeria",44.4,45.5,45.3,43.3,45.3,44.9,45.6,46.8,46.1,46.1,46.5,47.1,47.3,47.1,46.5,45.7,45.4,46.1,46.7,47.1,45.9,42.5,43.3,43,42.7,43.2,43.6,43.4,44.4,46.2,47.3,42.5,4.8,1.79117647058823,42.6088235294118,"Partially Free"
"Angola",49.6,48.5,44.9,43.8,42.7,42.9,42.8,44,43.5,44.6,43.1,42.9,43,44,42.9,40.9,41.5,38.9,35.9,36.2,34.9,34.9,33.8,33.1,31.7,35.1,38.3,36.9,29.8,21.1,49.6,21.1,28.5,11.7941176470588,37.8058823529412,"Partially Free"
"Argentina",72.8,76.5,76,78.1,74.4,74.8,75.4,76,76,75.9,76.2,76.8,76.5,77.8,78.2,77.7,79.4,80.1,79.5,80.1,79.3,79.2,80.1,80.1,80.6,78.8,78,79.5,80.1,79,80.6,72.8,7.8,-0.326470588235296,73.1264705882353,"Free"
"Armenia",71.9,64.8,59.5,58,57.6,57.5,58.1,58.8,58.5,57.2,53.4,51.3,56.4,57.2,57.5,56.6,59.1,59.5,59.8,58.5,59.9,59.2,58.5,57.6,58.9,59,61.2,62.7,62.2,62.2,71.9,51.3,20.6,15.5352941176471,56.3647058823529,"Partially Free"
"Australia",76.6,78.4,77.7,83.3,84.2,83.7,83.4,86.2,86.3,85.7,84,82.5,83.3,83.6,83.2,82.9,83,82.8,84.8,84.7,83.7,84.1,84.4,86.2,86.7,85.8,85.4,86.5,86.4,86.5,86.7,76.6,10.1,-2.20294117647059,78.8029411764706,"Free"
"Austria",79.9,78.3,80.8,82.3,82.2,82.4,82.6,85.2,84.5,84,84.7,84.9,85.2,85.5,83.1,82.9,83,82.9,83.1,82.5,83,82.7,83.5,83.4,83.1,83.7,83.8,84.5,84.4,84.5,85.5,78.3,7.2,1.60588235294118,78.2941176470588,"Free"
"Azerbaijan",36.4,32.7,36,33.9,33.3,33.9,34.3,35.3,35,34.7,36.1,36.5,37.7,38.1,38.3,38.7,40,41,43.1,42.2,42.4,42,41.5,41.1,41.6,40.5,44.3,51.6,45.2,45.2,51.6,32.7,18.9,-0.676470588235297,37.0764705882353,"Partially Free"
"Bahrain",23.4,18.5,18.7,21.3,22.2,24.9,24.3,25.2,25,42.3,45.2,45.9,45.3,45,45,46.1,46.6,46.4,44.6,37.4,31.6,29.9,30.2,30.2,29.4,30.1,30.7,29.8,30,29.6,46.6,18.5,28.1,-7.91764705882353,31.3176470588235,"Partially Free"
