country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,39.2,39.2,39.2,36.5,36.6,35.2,34.4,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,33.6,35.2,36,36,33.1,30.9,32,32,32,32,32,33.3,34.2,39.1,39.8,42.4,42.4,42.4,42.4,42.4,42.4,42.4,40.6,41,41.9,41.7,41.6,43.9,39
Angola,43.9,41.6,41.6,41.6,41.6,41.6,40.4,42,42,39.9,41.5,39.9,39.9,41.5,41.5,39.6,43.4,43.1,41.8,41.8,42.1,42.1,42.1,42.6,42.6,42.6,42.6,40.3,40.3,40.3,40.3,40.3,40.3,45.3,45.3,45.3,44.8,44.8,42,42,42,43.5,43.7,43.9,48.3
Albania,40.6,40.6,40.6,40.6,40.6,40.6,35.4,35.4,35.4,37,37,37,37,37,37,44.5,48.2,48.8,49.1,50.6,49.4,49.4,48.8,49.1,48.8,47.5,47.5,46.6,46.1,46.8,46.8,45.7,45.7,45.7,45.7,45.7,45.7,46.5,50.2,53.4,53.4,53.4,50.8,53.5,52.4
United Arab Emirates,16,16,16,16,16,16,18.1,18.1,18.1,17.9,18.5,18.9,18.5,18.9,18.9,18.5,18.9,19.3,19.3,24,24,24,24,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,26.2,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,25,26.7,26.7
Argentina,48.1,39.2,43.1,43.1,43.1,44,42.8,44.2,48.4,53.8,55,55,53.8,55,55,47.1,47.1,47.1,47.4,47.4,46.8,46.8,46.8,47.5,47.5,53.9,52.6,51.5,51.9,52.1,51.1,50.8,50,47.7,47.7,47.7,48.8,48.8,48.8,48.8,48.8,56.7,56.1,56.9,54.6
Armenia,,,,,,,,,,,,,,,,,37.8,38.3,37.9,37.9,37,35.4,35.9,35.9,35.8,35.1,35.1,33.4,35.5,34.2,33,33,33,33,33,33,33,33,35.1,34.5,34.5,34.5,36.5,46.3,54.1
Australia,98.4,98.4,98.4,98.4,98.4,98.4,98.5,98.5,98.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,98,98,98,98,98,98,98,88,88,85.9,90,91.8,91.8,90
Austria,73.4,73.4,73.4,73.4,73.4,73.4,73.9,73.9,73.9,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,73.3,73.3,73.3,73.3,73.3,73.3,73.3
Azerbaijan,,,,,,,,,,,,,,,,,33.6,45.6,36,21.3,21.3,21.3,21.3,17.8,18.6,18.6,18.6,18.6,18.6,18.6,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,3.06,3.06,3.06,3.06,3.06,3.06,8.95
Burundi,48.1,49,49,49.7,49.7,49.7,49.6,49.6,48.3,49.6,49.6,49.6,49.6,48.8,48.8,48.8,47.4,48.8,51.2,51.2,51.2,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,42.6,42.6,42.6,42.6,42.6,40.4,40.4,40.4,28.3,28.3,28.3,26.3,22.7,22.8,24.5
