"","maxIndexCL","minIndexCL","change","progrs","meanIndexCL","cat","maxIndexJL","minIndexJL","meanIndexJL","changeIndCL","progrsIndCL","catIndCL","meanFreedom","changeFreedom"
"Afghanistan",51.4,6.82,44.58,10.6152941176471,33.8847058823529,"Partially Free",43.9,30.9,37.75,13,1.25,"Not Free",35.8173529411765,5.93264705882355
"Albania",70.9,21.8,49.1,5.61764705882353,60.5823529411765,"Partially Free",53.5,44.5,48.55625,9,3.84375,"Partially Free",54.5693014705883,-5.61930147058825
"Algeria",47.3,42.5,4.8,1.79117647058823,42.6088235294118,"Partially Free",33.6,25.3,29.48125,8.3,-4.18125,"Not Free",36.0450367647059,23.2549632352941
"Angola",49.6,21.1,28.5,11.7941176470588,37.8058823529412,"Partially Free",48.3,39.6,42.71875,8.7,5.58125,"Partially Free",40.2623161764706,-10.6123161764706
"Argentina",80.6,72.8,7.8,-0.326470588235296,73.1264705882353,"Free",56.9,46.8,50.015625,10.1,4.584375,"Partially Free",61.5710477941177,2.12895220588235
"Armenia",71.9,51.3,20.6,15.5352941176471,56.3647058823529,"Partially Free",54.1,33,36.55,21.1,17.55,"Partially Free",46.4573529411765,16.5426470588235
"Australia",86.7,76.6,10.1,-2.20294117647059,78.8029411764706,"Free",100,85.9,96.73125,14.1,-6.73125,"Free",87.7670955882353,-4.4670955882353
"Austria",85.5,78.3,7.2,1.60588235294118,78.2941176470588,"Free",74.6,73.3,74.275,1.3,-0.974999999999994,"Free",76.2845588235294,0.315441176470586
"Azerbaijan",51.6,32.7,18.9,-0.676470588235297,37.0764705882353,"Partially Free",45.6,3.06,18.1053125,42.54,-9.1553125,"Partially Free",27.5908915441177,-4.91589154411766
"Bahrain",46.6,18.5,28.1,-7.91764705882353,31.3176470588235,"Partially Free",26.6,14.2,20.7125,12.4,-1.6125,"Not Free",26.0150735294118,-1.96507352941175
"Bangladesh",54.3,40.1,14.2,-5.24705882352941,45.7470588235294,"Partially Free",44.8,28.9,38.634375,15.9,-9.734375,"Not Free",42.1907169117647,37.2092830882353
"Barbados",78.4,72.4,6,6.10882352941177,70.6911764705882,"Free",82.7,71.9,73.10625,10.8,9.59375,"Free",71.8987132352941,-13.6987132352941
"Belarus",64,35,29,-0.888235294117649,41.7882352941176,"Partially Free",54.4,11.9,21.84375,42.5,-7.34375,"Partially Free",31.8159926470588,20.2340073529412
"Belgium",87.6,82.7,4.89999999999999,1.53823529411765,81.1617647058823,"Free",76.1,71.6,74.0875,4.5,2.01249999999999,"Free",77.6246323529411,-42.9246323529411
"Benin",79.1,66.4,12.7,-4.04411764705881,70.4441176470588,"Free",62.9,45.9,52.7375,17,-2.7375,"Partially Free",61.5908088235294,0.609191176470603
"Bolivia",70.7,55.2,15.5,-7.55588235294118,62.7558823529412,"Partially Free",44,31.8,40.603125,12.2,-8.803125,"Not Free",51.6795036764706,-30.4295036764706
"Bosnia and Herzegovina",66.9,38.9,28,2.43823529411765,54.9617647058824,"Partially Free",49.7,28.7,42.9,21,5.4,"Partially Free",48.9308823529412,3.9191176470588
"Botswana",72.8,65.4,7.39999999999999,-1.31470588235294,66.7147058823529,"Partially Free",71.2,57,66.925,14.2,-6.625,"Free",66.8198529411764,-39.1198529411764
"Brazil",84.8,57.1,27.7,-17.3088235294118,74.4088235294118,"Free",73.4,59.9,65.88125,13.5,-5.98125,"Free",70.1450367647059,-26.6450367647059
"Bulgaria",74.2,64.4,9.8,-2.05882352941175,66.4588235294118,"Partially Free",63.8,51,60.703125,12.8,-0.703125,"Partially Free",63.5809742647059,-5.0809742647059
"Burkina Faso",70.3,44.2,26.1,-1.02647058823529,59.1264705882353,"Partially Free",52.5,39.2,44.203125,13.3,1.796875,"Partially Free",51.6647977941176,28.0852022058824
"Burundi",48.6,19.8,28.8,-15.0558823529412,38.6558823529412,"Partially Free",51.2,22.7,41.78125,28.5,-17.28125,"Partially Free",40.2185661764706,22.6314338235294
"Cambodia",50.5,15.6,34.9,-3.25882352941176,40.2588235294118,"Partially Free",30.4,9.81,24.050625,20.59,6.349375,"Not Free",32.1547242647059,11.7452757352941
"Cameroon",55.2,40.9,14.3,-4.77352941176471,48.1735294117647,"Partially Free",25.7,19.4,22.99375,6.3,-3.59375,"Not Free",35.5836397058823,44.7663602941176
"Canada",84.6,79.6,5,7.73823529411764,76.8617647058824,"Free",80.4,73.1,78.453125,7.30000000000001,-2.35312500000001,"Free",77.6574448529412,12.5425551470588
"Cape Verde",81.3,64.8,16.5,4.06764705882354,74.6323529411765,"Free",73.4,61.6,72.13125,11.8,-3.03125000000001,"Free",73.3818014705882,0.418198529411754
"Central African Republic",52.3,38.1,14.2,2.94117647058823,44.8588235294118,"Partially Free",40,31.3,35.93125,8.7,4.06875,"Not Free",40.3950367647059,-17.8450367647059
"Chad",45.4,31.5,13.9,-0.141176470588235,39.3411764705882,"Partially Free",33.2,24.7,28.725,8.5,-1.525,"Not Free",34.0330882352941,16.2169117647059
"Chile",90.7,72.3,18.4,-7.7764705882353,80.0764705882353,"Free",91.2,64.8,79.203125,26.4,-3.903125,"Free",79.6397977941176,-48.2397977941176
"China",30,23.3,6.7,-3.23823529411765,26.5382352941176,"Not Free",24.5,21.8,23.578125,2.7,-1.778125,"Not Free",25.0581801470588,12.2918198529412
"Colombia",66,47.4,18.6,0.538235294117648,54.5617647058824,"Partially Free",66.7,50.9,61.934375,15.8,2.565625,"Partially Free",58.2480698529412,-26.7480698529412
"Congo, Dem. Rep.",43.1,32.3,10.8,5.76470588235294,37.3352941176471,"Partially Free",36.9,20.1,30.85625,16.8,0.743750000000002,"Not Free",34.0957720588235,25.7042279411764
"Congo, Rep.",52.4,30.7,21.7,-3.17941176470588,37.7794117647059,"Partially Free",45.5,24.2,30.7125,21.3,-2.3125,"Partially Free",34.2459558823529,39.6540441176471
"Costa Rica",89.3,80.1,9.2,0.220588235294116,80.8794117647059,"Free",78.2,70.9,76.71875,7.3,-5.81874999999999,"Free",78.799080882353,-2.79908088235295
"Cote d'Ivoire",59.8,51.3,8.5,2.58823529411764,52.7117647058824,"Partially Free",52.3,41.7,47.8,10.6,-2.59999999999999,"Partially Free",50.2558823529412,-21.2558823529412
"Croatia",77.8,45.6,32.2,2.52647058823529,61.7735294117647,"Free",60.2,39.7,50.84375,20.5,4.65625,"Partially Free",56.3086397058823,13.3913602941177
"Cuba",29.8,18.2,11.6,7.89117647058823,21.9088235294118,"Not Free",28.2,23.7,24.63125,4.5,3.56875,"Not Free",23.2700367647059,50.9799632352941
